YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2018,15,0,20,0,1,0,0,1,0,0
2018,15,0,33,0,1,0,1,0,0,0
2018,15,1,21,0,1,0,0,1,0,0
2018,15,0,15,0,0,0,1,0,0,0
2018,15,1,22,1,0,0,0,1,0,4050
2018,15,0,49,0,0,1,0,0,0,9000
2018,15,0,21,0,0,1,0,0,0,26000
2018,15,0,20,1,0,0,0,1,0,20400
2018,15,0,22,0,0,1,0,0,0,26000
2018,15,1,19,0,1,0,0,1,0,2500
2018,15,1,18,0,1,0,0,0,0,0
2018,15,0,18,1,0,0,0,1,0,26000
2018,15,1,21,0,1,0,0,0,0,0
2018,15,0,19,1,0,0,0,1,0,1800
2018,15,0,25,0,0,0,0,1,0,48000
2018,15,0,43,0,1,0,0,0,0,0
2018,15,0,30,1,0,0,0,0,0,22800
2018,15,0,36,1,1,0,1,0,0,0
2018,15,1,20,0,1,0,0,0,0,8000
2018,15,0,24,0,1,0,1,0,0,0
2018,15,0,27,0,1,0,0,0,0,29100
2018,15,1,23,0,1,0,0,0,1,0
2018,15,0,18,1,0,0,0,1,0,26000
2018,15,0,42,0,1,0,1,1,0,0
2018,15,1,96,0,1,0,0,0,0,15700
